1348,My Trip AsianaClub 카드 My flight,하나카드,"해외겸용30,000원",전월실적없음,mastercard,https://api.card-gorilla.com:8080/storage/card/1348/card_img/20807/1348card.png
1349,우리군인연금증체크카드,우리카드,해외겸용 없음,전월실적30만원 이상,UnionPay,https://api.card-gorilla.com:8080/storage/card/1349/card_img/20806/1349card.png
1350,Y카드(개인 신용),BNK부산은행,"해외겸용 2,000원",전월실적30만원 이상,VISAUnionPayJCB,https://api.card-gorilla.com:8080/storage/card/1350/card_img/20805/1350card.png
1352,My Trip 1Q Global VIVA,하나카드,"국내전용 13,000원 해외겸용 15,000원",전월실적없음,mastercard,https://api.card-gorilla.com:8080/storage/card/1352/card_img/20804/1352card.png
1353,신한금융투자 명품CMA 롯데체크카드,롯데카드,해외겸용 없음,전월실적30만원 이상,,https://api.card-gorilla.com:8080/storage/card/1353/card_img/20803/1353card.jpg
1354,교원 웰스 KB국민카드,KB국민카드,"해외겸용 12,000원",전월실적30만원 이상,mastercardJCB,https://api.card-gorilla.com:8080/storage/card/1354/card_img/20802/1354card.png
1355,신한금융투자명품CMA 삼성체크카드,삼성카드,국내전용 없음 해외겸용 없음,전월실적30만원 이상,,https://api.card-gorilla.com:8080/storage/card/1355/card_img/20801/1355card.png
1356,알라딘 삼성지엔미e포인트카드,삼성카드,"해외겸용 5,000원",전월실적20만원 이상,,https://api.card-gorilla.com:8080/storage/card/1356/card_img/20800/1356card.png
1357,알라딘 삼성애니패스e포인트카드,삼성카드,"해외겸용 5,000원",전월실적20만원 이상,VISA,https://api.card-gorilla.com:8080/storage/card/1357/card_img/20799/1357card.png
1358,알라딘 삼성빅앤빅카드,삼성카드,"해외겸용 20,000원",전월실적20만원 이상,AMEX,https://api.card-gorilla.com:8080/storage/card/1358/card_img/20798/1358card.png
1359,삼성플래티늄체크카드,삼성카드,"해외겸용 1,000원",전월실적30만원 이상,VISA,https://api.card-gorilla.com:8080/storage/card/1359/card_img/20797/1359card.png
1360,삼성포인트체크카드,삼성카드,국내전용 없음 해외겸용 없음,전월실적30만원 이상,VISA,https://api.card-gorilla.com:8080/storage/card/1360/card_img/20796/1360card.png
1361,새마을금고 삼성지엔미카드,삼성카드,"해외겸용 12,000원",전월실적30만원 이상,,https://api.card-gorilla.com:8080/storage/card/1361/card_img/20795/1361card.png
1362,새마을금고 삼성오일앤세이브플러스카드,삼성카드,"해외겸용 10,000원",전월실적30만원 이상,,https://api.card-gorilla.com:8080/storage/card/1362/card_img/20794/1362card.png
1363,유류환급에버리치 삼성티클래스앤오일 체크카드,삼성카드,국내전용 없음 해외겸용 없음,전월실적10만원 이상,,https://api.card-gorilla.com:8080/storage/card/1363/card_img/20793/1363card.png
1364,새마을금고 IN 삼성카드,삼성카드,"국내전용 12,000원 해외겸용 12,000원",전월실적30만원 이상,VISAmastercard,https://api.card-gorilla.com:8080/storage/card/1364/card_img/20792/1364card.png
1365,새마을금고 삼성애니패스포인트카드,삼성카드,"해외겸용 12,000원",전월실적30만원 이상,,https://api.card-gorilla.com:8080/storage/card/1365/card_img/20791/1365card.png
1366,은혜나눔 삼성오일앤세이브플러스카드,삼성카드,"해외겸용 10,000원",전월실적10만원 이상,,https://api.card-gorilla.com:8080/storage/card/1366/card_img/20790/1366card.png
1367,코레일멤버십 삼성빅보너스카드,삼성카드,"해외겸용 20,000원",전월실적30만원 이상,VISA,https://api.card-gorilla.com:8080/storage/card/1367/card_img/20789/1367card.png
